"DeathClaw","258.027","257","275.238","343.053","lj","ru","kzru",
"Rub1","257.489","257","275.81","343.028","lj","ru","kzru",
"bEN","257.249","257","274.714","341.712","lj","ru","kzru",
"round","257.536","256","275.177","335.598","lj","ru","kzru",
"A4Tech","256.864","256","275.866","339.196","lj","ru","kzru",
"HhnDrop","270.316","269","294.242","355.402","cj","ru","kzru",
"mF^","269.778","269","293.261","354.010","cj","ru","kzru",
"showbrew","269.489","269","293.671","356.936","cj","ru","kzru",
"torrenz","269.394","268","292.293","357.395","cj","ru","kzru",
"aquatic","268.379","268","292.483","353.577","cj","ru","kzru",
"DeathClaw","274.510","273","299.890","364.562","dcj","ru","kzru",
"round","273.631","273","299.507","357.631","dcj","ru","kzru",
"mF^","273.608","273","299.741","362.325","dcj","ru","kzru",
"Laa","273.509","273","298.899","360.640","dcj","ru","kzru",
"trancer","273.396","273","299.605","362.092","dcj","ru","kzru",
"Risible Ripple","255.547","245","273.985","334.850","hj","ru","kzru",
"DeathClaw","256.898","244","275.315","341.298","hj","ru","kzru",
"aquatic","256.455","243","272.775","341.989","hj","ru","kzru",
"awaY","256.032","243","274.422","342.153","hj","ru","kzru",
"Womanaizer","255.977","243","273.395","340.665","hj","ru","kzru",
"akseon","248.326","248","299.840","356.076","bj","ru","kzru",
"trancer","247.948","247","299.717","355.898","bj","ru","kzru",
"SWAP1K","247.733","247","299.199","353.624","bj","ru","kzru",
"DeathClaw","247.694","247","299.425","356.921","bj","ru","kzru",
"dex7eR","247.688","247","299.588","354.038","bj","ru","kzru",
"DeathClaw","258.027","257","275.238","343.053","lj","ru","xj",
"kQbmig","257.708","257","274.534","343.306","lj","dn","xj",
"FreestyleR","257.666","257","276.279","339.929","lj","bg","xj",
"max3semne","257.638","257","276.300","337.376","lj","cz","xj",
"Laa","257.494","257","275.866","339.607","lj","ru","xj",
"fame","271.252","270","293.246","359.180","cj","ea","xj",
"chip","270.515","270","293.733","359.150","cj","sw","xj",
"Avatar","270.495","270","295.173","357.843","cj","at","xj",
"memek","270.636","269","292.907","356.630","cj","pl","xj",
"Beterok","270.257","269","294.219","361.129","cj","ea","xj",
"DeathClaw","274.511","273","299.890","364.562","dcj","ru","xj",
"max3semne","274.051","273","299.299","356.569","dcj","cz","xj",
"memek","273.945","273","299.180","362.095","dcj","pl","xj",
"mursux","273.865","273","299.299","357.922","dcj","fi","xj",
"PU9maker","273.771","273","299.889","356.877","dcj","cz","xj",
"max3semne","257.810","245","275.403","343.786","hj","cz","xj",
"Risible Ripple","255.547","245","273.985","334.850","hj","ru","xj",
"fame","257.384","244","273.966","339.182","hj","ea","xj",
"cr0ucher","257.304","244","275.426","341.151","hj","lt","xj",
"2Dex","257.218","244","275.199","344.418","hj","bg","xj",
"Beterok","248.759","248","299.885","360.684","bj","uk","xj",
"akseon","248.325","248","299.840","356.076","bj","ru","xj",
"vLy","248.130","248","299.654","355.155","bj","cn","xj",
"lrs","248.304","247","299.470","356.408","bj","sw","xj",
"N1k1t1Ch^","247.993","247","299.304","355.006","bj","lv","xj"
